,Rank,Title,Studio,Total Gross,Theaters,Opening,Theaters.1,Open,Close,link,genre
53,54,The Hateful Eight,Wein.,"$54,117,416","2,938","$4,610,676",100,12-25,4-28,/movies/?id=thehatefuleight.htm,Western
54,55,Focus (2015),WB,"$53,862,963","3,323","$18,685,137","3,323",2-27,5-7,/movies/?id=focus2015.htm,Comedy
55,56,Southpaw,Wein.,"$52,421,953","2,772","$16,701,294","2,772",7-24,11-5,/movies/?id=southpaw2015.htm,Drama
56,57,Insidious Chapter 3,Focus,"$52,218,558","3,014","$22,692,741","3,002",6-5,8-13,/movies/?id=insidiouschapter3.htm,Horror
57,58,Poltergeist (2015),Fox,"$47,425,125","3,242","$22,620,386","3,240",5-22,8-6,/movies/?id=poltergeist2015.htm,Horror
58,59,Jupiter Ascending,WB,"$47,387,723","3,181","$18,372,372","3,181",2-6,5-7,/movies/?id=jupiterascending.htm,Sci-Fi
59,60,Sicario,LGF,"$46,889,293","2,620","$401,288",6,9-18,1-14,/movies/?id=sicario.htm,Action Drama
60,61,The Man From U.N.C.L.E.,WB,"$45,445,109","3,673","$13,421,036","3,638",8-14,10-22,/movies/?id=uncle.htm,Action
61,62,Spotlight,ORF,"$45,055,776","1,227","$295,009",5,11-6,5-5,/movies/?id=spotlight.htm,Drama
62,63,"McFarland, USA",BV,"$44,482,410","2,792","$11,020,798","2,755",2-20,7-9,/movies/?id=mcfarland.htm,Sports Drama
63,64,The Gift (2015),STX,"$43,787,265","2,503","$11,854,273","2,503",8-7,10-9,/movies/?id=blumhousejuly2015.htm,Thriller
64,65,Everest (2015),Uni.,"$43,482,270","3,009","$7,222,035",545,9-18,11-26,/movies/?id=everest2015.htm,Thriller
65,66,The Night Before,Sony,"$43,047,372","2,960","$9,880,536","2,960",11-20,1-14,/movies/?id=xmas2015.htm,Comedy
66,67,Krampus,Uni.,"$42,725,475","2,919","$16,293,325","2,902",12-4,1-21,/movies/?id=krampus.htm,Horror Comedy
67,68,Max (2015),WB,"$42,656,255","2,870","$12,155,254","2,855",6-26,10-15,/movies/?id=max2015.htm,Family
68,69,The Age of Adaline,LGF,"$42,629,776","3,070","$13,203,458","2,991",4-24,7-9,/movies/?id=ageofadaline.htm,Drama
69,70,Brooklyn,FoxS,"$38,322,743",962,"$187,281",5,11-4,5-26,/movies/?id=brooklyn.htm,Drama
70,71,The Longest Ride,Fox,"$37,446,117","3,371","$13,019,686","3,366",4-10,7-9,/movies/?id=thelongestride.htm,Romance
71,72,The Boy Next Door,Uni.,"$35,423,380","2,615","$14,910,105","2,602",1-23,3-12,/movies/?id=boynextdoor.htm,Thriller
72,73,Pan,WB,"$35,088,320","3,515","$15,315,435","3,515",10-9,1-7,/movies/?id=pan.htm,Fantasy
73,74,Hot Pursuit,WB (NL),"$34,580,201","3,037","$13,942,258","3,003",5-8,7-30,/movies/?id=witherspoonvergara.htm,Comedy
74,75,Concussion (2015),Sony,"$34,542,474","2,841","$10,513,749","2,841",12-25,3-17,/movies/?id=concussion2015.htm,Drama
75,76,The DUFF,LGF,"$34,030,343","2,622","$10,809,149","2,575",2-20,5-14,/movies/?id=duff.htm,Comedy
76,77,Woman in Gold,Wein.,"$33,307,793","2,011","$2,091,551",258,4-1,8-13,/movies/?id=womaningold.htm,Drama
77,78,The Second Best Exotic Marigold Hotel,FoxS,"$33,078,266","2,022","$8,540,370","1,573",3-6,6-25,/movies/?id=bestexotic2.htm,Comedy / Drama
78,79,Unfriended,Uni.,"$32,482,090","2,775","$15,845,115","2,739",4-17,5-28,/movies/?id=cybernatural.htm,Horror
79,80,Entourage,WB,"$32,363,404","3,108","$10,283,250","3,108",6-3,8-13,/movies/?id=entourage.htm,Comedy
80,81,Paper Towns,Fox,"$32,000,304","3,031","$12,650,140","3,031",7-24,10-15,/movies/?id=papertowns.htm,Drama
81,82,Chappie,Sony,"$31,569,268","3,201","$13,346,782","3,201",3-6,5-3,/movies/?id=chappie.htm,Sci-Fi Action
82,83,Crimson Peak,Uni.,"$31,090,320","2,991","$13,143,310","2,984",10-16,11-26,/movies/?id=crimsonpeak.htm,Horror
83,84,A Walk in the Woods,BG,"$29,504,281","2,158","$8,246,267","1,960",9-2,12-20,/movies/?id=walkinthewoods.htm,Comedy
