Rank,Title,Studio,Total Gross,Theaters,Opening,Theaters,Open,Close,link
1,Star Wars: The Last Jedi,BV,"$620,181,382","4,232","$220,009,584","4,232",12-15,4-19,/movies/?id=starwars8.htm
2,Beauty and the Beast (2017),BV,"$504,014,165","4,210","$174,750,616","4,210",3-17,7-13,/movies/?id=beautyandthebeast2017.htm
3,Wonder Woman,WB,"$412,563,408","4,165","$103,251,471","4,165",6-2,11-9,/movies/?id=wonderwoman.htm
4,Jumanji: Welcome to the Jungle,Sony,"$404,515,480","3,849","$36,169,328","3,765",12-20,5-31,/movies/?id=jumanji2016.htm
5,Guardians of the Galaxy Vol. 2,BV,"$389,813,101","4,347","$146,510,104","4,347",5-5,9-21,/movies/?id=marvel17a.htm
6,Spider-Man: Homecoming,Sony,"$334,201,140","4,348","$117,027,503","4,348",7-7,11-30,/movies/?id=spiderman2017.htm
7,It,WB (NL),"$327,481,748","4,148","$123,403,419","4,103",9-8,12-14,/movies/?id=it.htm
8,Thor: Ragnarok,BV,"$315,058,289","4,080","$122,744,989","4,080",11-3,3-15,/movies/?id=marvel2017.htm
9,Despicable Me 3,Uni.,"$264,624,300","4,535","$72,434,025","4,529",6-30,12-21,/movies/?id=despicableme3.htm
10,Justice League,WB,"$229,024,295","4,051","$93,842,239","4,051",11-17,3-15,/movies/?id=dcfilm1117.htm
11,Logan (2017),Fox,"$226,277,068","4,071","$88,411,916","4,071",3-3,7-13,/movies/?id=wolverine2017.htm
12,The Fate of the Furious,Uni.,"$226,008,385","4,329","$98,786,705","4,310",4-14,8-10,/movies/?id=furious8.htm
13,Coco,BV,"$209,726,015","3,987","$50,802,605","3,987",11-22,4-26,/movies/?id=pixar1117.htm
14,Dunkirk,WB,"$188,045,546","4,014","$50,513,488","3,720",7-21,11-23,/movies/?id=chrisnolan2017.htm
15,Get Out,Uni.,"$176,040,665","3,143","$33,377,060","2,781",2-24,2-15,/movies/?id=blumhouse2.htm
16,The LEGO Batman Movie,WB,"$175,750,384","4,088","$53,003,468","4,088",2-10,6-8,/movies/?id=lego2.htm
17,The Boss Baby,Fox,"$175,003,033","3,829","$50,198,902","3,773",3-31,11-2,/movies/?id=bossbaby.htm
18,The Greatest Showman,Fox,"$174,340,174","3,342","$8,805,843","3,006",12-20,7-26,/movies/?id=greatestshowman.htm
19,Pirates of the Caribbean: Dead Men Tell No Tales,BV,"$172,558,876","4,276","$62,983,253","4,276",5-26,9-21,/movies/?id=potc5.htm
20,Kong: Skull Island,WB,"$168,052,812","3,846","$61,025,472","3,846",3-10,6-15,/movies/?id=legendary2016.htm
21,Cars 3,BV,"$152,901,115","4,256","$53,688,680","4,256",6-16,11-2,/movies/?id=cars3.htm
22,War for the Planet of the Apes,Fox,"$146,880,162","4,100","$56,262,929","4,022",7-14,11-30,/movies/?id=planetoftheapes16.htm
23,Split,Uni.,"$138,291,365","3,373","$40,010,975","3,038",1-20,5-11,/movies/?id=split2017.htm
24,Wonder,LGF,"$132,422,809","3,519","$27,547,866","3,096",11-17,3-22,/movies/?id=wonder.htm
25,Transformers: The Last Knight,Par.,"$130,168,683","4,132","$44,680,073","4,069",6-21,8-24,/movies/?id=transformers5.htm
26,Girls Trip,Uni.,"$115,171,585","2,648","$31,201,920","2,591",7-21,10-19,/movies/?id=girltrip.htm
27,Fifty Shades Darker,Uni.,"$114,581,250","3,714","$46,607,250","3,710",2-10,4-6,/movies/?id=fiftyshadesdarker.htm
28,Baby Driver,TriS,"$107,825,862","3,226","$20,553,320","3,226",6-28,10-19,/movies/?id=babydriver.htm
29,Pitch Perfect 3,Uni.,"$104,897,530","3,468","$19,928,525","3,447",12-22,3-8,/movies/?id=pitchperfect3.htm
30,Daddy's Home 2,Par.,"$104,029,443","3,575","$29,651,193","3,575",11-10,2-15,/movies/?id=daddyshome2.htm
31,Murder on the Orient Express (2017),Fox,"$102,826,543","3,354","$28,681,472","3,341",11-10,-,/movies/?id=murderorientexpress17.htm
32,Annabelle: Creation,WB (NL),"$102,092,201","3,565","$35,006,404","3,502",8-11,11-2,/movies/?id=annabelle2.htm
33,Kingsman: The Golden Circle,Fox,"$100,234,838","4,038","$39,023,010","4,003",9-22,1-4,/movies/?id=kingsman2.htm
34,Blade Runner 2049,WB,"$92,054,159","4,058","$32,753,122","4,058",10-6,2-1,/movies/?id=bladerunnersequel.htm
35,John Wick: Chapter Two,LG/S,"$92,029,184","3,113","$30,436,123","3,113",2-10,4-27,/movies/?id=johnwick2.htm
36,The Emoji Movie,Sony,"$86,089,513","4,075","$24,531,923","4,075",7-28,11-30,/movies/?id=theemojimovie.htm
37,Power Rangers (2017),LGF,"$85,364,450","3,693","$40,300,288","3,693",3-24,6-1,/movies/?id=powerrangers16.htm
38,Ferdinand,Fox,"$84,410,380","3,630","$13,401,586","3,621",12-15,5-31,/movies/?id=ferdinand.htm
39,The Post,Fox,"$81,903,458","2,851","$526,011",9,12-22,5-17,/movies/?id=untitledstevenspielberg.htm
40,The Mummy (2017),Uni.,"$80,227,895","4,035","$31,688,375","4,035",6-9,8-24,/movies/?id=mummy2016.htm
41,The Hitman's Bodyguard,LG/S,"$75,468,583","3,377","$21,384,504","3,377",8-18,11-2,/movies/?id=hitmansbodyguard.htm
42,Alien: Covenant,Fox,"$74,262,031","3,772","$36,160,621","3,761",5-19,8-31,/movies/?id=alienparadiselost.htm
43,Captain Underpants: The First Epic Movie,Fox,"$73,921,000","3,529","$23,851,539","3,434",6-2,11-2,/movies/?id=captainunderpants.htm
44,A Bad Moms Christmas,STX,"$72,110,659","3,615","$16,759,161","3,615",11-1,1-11,/movies/?id=badmomschristmas.htm
45,A Dog's Purpose,Uni.,"$64,508,620","3,178","$18,222,810","3,059",1-27,5-18,/movies/?id=adogspurpose.htm
46,The Shape of Water,FoxS,"$63,859,435","2,341","$166,564",2,12-1,5-3,/movies/?id=theshapeofwater.htm
47,The LEGO Ninjago Movie,WB,"$59,281,555","4,047","$20,433,071","4,047",9-22,11-30,/movies/?id=ninjago.htm
48,Baywatch,Par.,"$58,060,186","3,647","$18,503,871","3,647",5-25,7-27,/movies/?id=baywatch.htm
49,The Shack,LG/S,"$57,386,418","2,888","$16,172,119","2,888",3-3,5-18,/movies/?id=theshack.htm
50,Darkest Hour,Focus,"$56,468,410","1,733","$175,006",4,11-22,4-12,/movies/?id=darkesthour2017.htm
51,Happy Death Day,Uni.,"$55,683,845","3,535","$26,039,025","3,149",10-13,12-14,/movies/?id=blumhousehorror2018.htm
52,"Three Billboards Outside Ebbing, Missouri",FoxS,"$54,513,740","1,726","$322,168",4,11-10,5-3,/movies/?id=threebillboards.htm
53,Atomic Blonde,Focus,"$51,687,870","3,326","$18,286,420","3,304",7-28,10-5,/movies/?id=thecoldestcity.htm
54,American Made,Uni.,"$51,342,000","3,098","$16,776,390","3,024",9-29,12-14,/movies/?id=mena.htm
55,The Dark Tower,Sony,"$50,701,325","3,451","$19,153,698","3,451",8-4,10-19,/movies/?id=darktower.htm
56,Lady Bird,A24,"$48,958,273","1,557","$364,437",4,11-3,4-5,/movies/?id=ladybird.htm
57,Tyler Perry's Boo 2! A Madea Halloween,LGF,"$47,319,572","2,388","$21,226,953","2,388",10-20,12-14,/movies/?id=amadeahalloween2.htm
58,Snatched,Fox,"$45,852,178","3,511","$19,542,248","3,501",5-12,8-3,/movies/?id=motherdaughter.htm
59,The Great Wall,Uni.,"$45,540,830","3,328","$18,469,620","3,326",2-17,6-1,/movies/?id=greatwall.htm
60,Smurfs: The Lost Village,Sony,"$45,020,282","3,610","$13,210,449","3,610",4-7,8-3,/movies/?id=smurfs3.htm
61,Going in Style (2017),WB (NL),"$45,018,541","3,076","$11,932,330","3,061",4-7,7-13,/movies/?id=goinginsty2017.htm
